User,Movie,Rating
1,1,4
1,3,4
1,4,3
1,9,4
1,10,4
1,13,4
1,15,4
1,16,3
1,18,4
1,20,4
2,1,3
2,2,3
2,3,4
2,4,4
2,5,3
2,6,4
2,9,3
2,11,4
2,15,4
2,16,4
3,2,3
3,10,3
3,11,3
3,12,2
3,15,3
3,16,2
3,19,3
3,20,3
4,1,3
4,3,3
4,4,2
4,5,3
4,8,2
4,10,3
4,12,3
4,13,3
4,16,2
4,17,3
4,19,4
5,1,1
5,2,1
5,3,1
5,5,1
5,8,1
5,9,1
5,13,2
5,14,1
5,16,1
5,20,2
6,1,3
6,2,3
6,3,4
6,4,3
6,8,3
6,11,4
6,12,3
6,14,3
6,15,4
6,16,3
6,18,4
6,19,4
6,20,4
7,1,3
7,2,3
7,3,4
7,8,3
7,11,3
7,13,3
7,14,2
7,15,3
7,16,3
7,17,3
8,1,3
8,2,3
8,4,3
8,5,3
8,6,3
8,7,3
8,14,2
8,15,3
8,16,3
8,20,3
9,2,3
9,3,3
9,4,3
9,6,3
9,7,3
9,8,2
9,9,2
9,10,3
9,11,3
9,19,3
9,20,3
10,1,2
10,5,2
10,6,2
10,8,1
10,10,2
10,12,1
10,14,1
10,15,2
10,16,1
10,17,2
10,18,1
11,2,3
11,5,4
11,7,4
11,13,4
11,14,3
11,15,4
11,16,3
11,18,3
11,19,4
12,2,2
12,3,3
12,4,2
12,5,2
12,8,2
12,10,3
12,11,3
12,15,3
12,17,2
13,4,3
13,9,2
13,10,3
13,12,2
13,13,3
13,15,3
13,16,2
13,18,3
13,19,3
13,20,3
14,3,4
14,5,3
14,7,4
14,10,4
14,14,3
14,15,4
14,17,4
14,18,3
14,19,4
15,2,4
15,4,3
15,6,4
15,8,3
15,9,3
15,16,3
15,17,4
15,18,4
15,19,4
16,1,3
16,2,3
16,9,2
16,10,3
16,11,3
16,13,3
16,16,2
16,18,3
16,19,3
17,1,3
17,2,3
17,4,3
17,6,3
17,9,3
17,12,3
17,13,3
17,18,3
17,20,3
18,1,3
18,2,3
18,5,3
18,6,3
18,9,3
18,11,4
18,12,3
18,15,3
18,16,3
18,17,4
18,18,3
18,19,4
19,1,3
19,3,4
19,4,3
19,6,4
19,7,4
19,8,3
19,9,3
19,11,3
19,12,3
19,13,4
19,14,3
19,17,4
19,18,3
20,2,4
20,5,4
20,9,3
20,10,4
20,11,4
20,13,4
20,14,3
20,15,4
20,19,4
20,20,4
21,2,3
21,4,2
21,5,3
21,8,3
21,9,3
21,14,2
21,18,3
22,1,4
22,2,5
22,9,4
22,10,5
22,11,5
22,12,4
22,16,4
22,17,5
22,19,5
22,20,5
23,2,2
23,4,2
23,6,3
23,8,2
23,10,3
23,12,3
23,13,3
23,14,2
23,15,3
23,18,3
23,19,3
24,2,3
24,4,3
24,7,3
24,9,3
24,10,3
24,11,3
24,12,2
24,14,2
24,15,3
24,16,3
25,1,2
25,4,3
25,5,2
25,6,2
25,10,3
25,13,2
25,15,3
25,16,2
25,19,3
26,2,2
26,3,2
26,5,2
26,6,2
26,9,2
26,10,2
26,11,2
26,13,2
26,16,1
26,17,2
26,18,2
27,1,3
27,2,3
27,4,3
27,6,4
27,9,3
27,10,4
27,12,3
27,13,4
27,15,4
27,16,3
28,2,4
28,3,5
28,8,4
28,12,4
28,13,4
28,17,4
28,18,4
29,1,1
29,4,1
29,5,1
29,6,1
29,8,1
29,14,1
29,15,1
29,16,1
29,20,1
30,7,4
30,9,3
30,10,4
30,12,3
30,17,4
30,18,3
30,19,4
31,1,4
31,5,5
31,7,4
31,10,5
31,14,4
31,20,5
32,2,3
32,3,3
32,5,3
32,6,3
32,7,4
32,9,3
32,11,3
32,13,3
32,14,2
32,15,4
32,16,3
33,2,2
33,3,3
33,4,2
33,6,3
33,7,3
33,11,3
33,13,3
33,19,3
34,3,4
34,6,4
34,9,3
34,10,4
34,11,4
34,12,3
34,13,4
34,14,3
34,16,3
34,17,4
34,19,5
35,1,4
35,2,4
35,3,5
35,4,4
35,12,4
35,13,5
35,14,3
35,15,5
35,16,4
35,18,4
35,20,4
36,4,3
36,5,3
36,8,3
36,11,3
36,12,3
36,13,3
36,19,4
37,1,4
37,2,3
37,3,4
37,4,3
37,5,4
37,6,4
37,8,3
37,9,3
37,12,3
37,13,4
37,14,3
37,15,4
37,17,4
37,19,5
37,20,4
38,1,4
38,3,4
38,4,4
38,5,4
38,7,4
38,11,4
38,14,3
38,15,4
38,19,4
38,20,4
39,2,2
39,3,3
39,5,2
39,6,3
39,7,2
39,9,2
39,10,3
39,11,3
39,12,2
39,13,3
39,14,2
39,15,3
39,18,3
39,19,3
40,2,4
40,10,4
40,14,3
40,15,4
40,18,4
40,19,4
41,3,5
41,5,5
41,6,5
41,8,5
41,10,5
41,11,5
41,12,5
41,13,5
41,18,5
42,1,3
42,2,3
42,3,3
42,7,3
42,9,2
42,11,3
42,12,2
42,15,3
42,17,3
42,18,3
42,19,3
42,20,4
43,1,4
43,3,4
43,6,4
43,11,4
43,13,4
43,15,4
43,16,4
43,19,4
