Dept 1,Dept 2,Dept 3,Dept 4,Dept 5,ltv
52,17,45,22,53,5989
89,74,0,35,83,6960
94,71,39,87,83,7783
78,29,19,37,1,5405
5,81,35,77,25,6207
97,93,70,58,29,6871
81,21,16,30,55,6152
80,30,12,90,83,7178
16,92,38,98,7,7966
37,14,0,96,2,4973
37,47,62,61,14,5276
61,81,37,94,19,6319
58,6,90,71,77,6821
78,70,96,51,97,7314
3,0,77,94,37,5593
52,83,2,98,96,5631
14,2,91,90,32,6862
82,55,32,30,3,5552
95,91,79,91,78,8317
21,30,59,84,31,8621
70,96,7,77,61,6984
88,95,27,65,16,6118
90,1,7,37,19,5129
63,20,89,30,83,7436
69,14,56,0,89,6662
28,65,21,60,28,5737
8,40,20,54,95,6761
95,39,25,47,76,5961
2,95,32,96,41,5838
76,42,69,3,63,6955
69,50,66,90,83,7154
17,19,29,73,51,5128
22,46,2,49,8,5197
18,35,39,26,91,6364
71,71,81,20,12,6683
26,61,39,52,79,5474
39,8,26,80,2,5395
55,52,3,39,51,5243
55,64,77,71,70,7698
29,24,38,79,74,0
24,32,62,53,50,5638
84,51,51,73,55,5955
72,0,97,30,20,6674
23,18,60,59,84,6016
24,19,25,6,66,4563
55,71,93,10,71,5846
16,71,46,43,63,5442
29,42,15,3,84,5826
49,33,34,63,12,5266
26,71,40,41,28,5383
15,52,45,68,36,0
59,73,14,20,33,5944
85,85,8,25,76,5588
17,0,22,32,46,4742
94,20,86,79,60,7178
26,62,51,63,13,2586
46,6,75,27,2,4266
21,84,62,28,19,5105
66,90,84,32,93,6744
47,40,8,47,86,5165
53,22,64,20,31,5190
25,32,59,8,80,5902
69,45,6,6,68,5247
32,9,80,27,46,5891
45,21,20,55,31,5866
31,35,30,69,53,4627
20,34,77,22,41,5348
23,93,73,68,41,5497
29,70,5,71,51,4945
89,81,99,25,99,7203
40,67,53,59,76,6347
54,23,94,85,39,6064
81,63,33,86,38,5928
0,19,24,5,93,6108
83,72,81,2,35,5488
69,37,64,82,37,4547
27,46,72,46,9,5446
87,89,71,4,12,5123
85,33,24,22,84,6124
2,7,45,61,38,4859
50,21,44,74,22,5362
48,79,50,27,98,6539
28,58,69,77,92,8070
27,73,46,3,87,6402
1,63,28,88,94,5166
46,14,37,96,48,6883
71,39,15,33,5,5283
86,52,20,98,28,5302
98,1,96,25,43,5527
95,17,97,29,22,6184
47,54,83,22,39,6401
63,71,13,86,77,7222
1,3,87,99,8,5078
15,95,31,26,14,5508
67,99,24,14,11,6061
70,99,23,69,40,6876
59,30,20,59,74,9672
79,77,88,13,81,6156
13,23,71,24,97,5959
27,87,17,56,97,6750
41,66,11,35,68,-256
82,75,90,16,42,7673
91,39,21,63,9,6227
5,16,75,62,69,5937
85,49,79,67,24,5916
32,0,78,16,42,6127
57,18,53,82,83,6540
0,86,15,23,83,5809
78,63,57,23,57,493
63,40,32,95,57,6498
55,94,14,64,11,7370
34,36,29,89,10,4953
59,31,1,9,45,3258
21,72,54,58,29,2665
52,88,20,81,19,5606
79,38,34,28,55,5956
93,54,52,47,66,6380
54,31,57,77,89,8137
68,27,71,96,99,6441
59,12,83,17,50,6008
49,83,42,96,84,7308
45,23,91,4,29,6559
42,52,23,13,99,5793
35,25,12,20,89,5656
97,39,77,84,42,6341
58,48,46,18,11,5937
35,93,32,86,61,7122
40,76,91,91,18,6948
30,49,41,16,91,6181
67,5,59,18,57,4916
86,39,44,41,69,6850
23,21,52,84,77,6432
23,24,16,34,80,6639
55,27,65,33,64,5420
2,58,55,21,41,5388
3,78,99,11,36,6383
40,57,62,70,94,5453
4,90,88,16,27,8922
26,52,25,48,92,6341
59,26,80,37,79,6364
8,31,0,8,49,4800
70,36,5,36,38,4717
3,48,36,73,9,5977
98,7,22,70,62,5258
65,37,19,30,29,4827
47,88,9,59,80,6208
8,57,31,87,15,6641
11,34,46,16,28,5225
56,35,98,67,6,6502
18,27,85,20,4,4005
48,95,0,63,83,7099
27,43,47,11,17,0
44,50,4,30,65,4572
44,58,72,1,81,5402
55,34,43,24,15,5110
57,40,43,19,58,5673
67,31,83,63,38,5504
14,17,70,66,71,5909
28,71,0,84,44,6946
65,33,20,47,32,5914
56,39,70,14,72,5759
29,43,54,16,38,0
47,84,2,36,16,6423
80,74,73,64,73,6858
24,15,54,58,31,6100
62,51,24,12,79,0
83,27,59,7,30,6796
91,92,61,33,41,8123
83,68,90,36,30,5762
32,95,80,42,22,8781
44,40,80,17,13,5289
15,23,66,12,38,6392
20,60,18,79,27,5507
68,7,14,72,17,5024
19,99,44,58,25,5432
65,37,5,2,20,4883
86,89,48,21,83,5977
44,29,31,1,47,6064
38,29,31,26,11,6054
45,86,78,59,98,6811
49,66,78,68,91,7326
39,9,45,85,2,5127
49,38,99,43,65,5676
53,56,88,37,29,5483
69,78,20,57,83,0
12,74,67,52,33,5823
77,58,57,37,11,5700
77,55,13,88,18,6029
81,75,66,53,72,7348
92,27,85,0,11,6325
67,87,62,60,2,5578
5,0,80,2,50,5938
2,8,17,96,25,5596
21,64,82,69,25,0
84,61,68,81,14,5922
19,47,27,56,36,4819
50,72,89,19,6,5511
50,57,8,32,85,5672
64,7,49,97,47,5839
62,88,96,72,80,7617
74,82,85,8,9,6375
88,20,74,19,11,5284
49,78,5,16,56,4593
68,78,95,50,66,6329
2,78,47,95,71,5533
5,4,15,52,16,5626
38,4,87,90,24,6476
20,7,45,33,78,5596
34,25,99,97,34,6182
52,14,66,40,8,6065
35,51,57,89,9,6269
29,99,57,80,88,7282
74,58,30,75,24,6752
89,38,55,76,29,4873
2,30,84,45,34,5895
92,12,29,69,10,6339
10,67,21,97,93,6540
68,30,91,30,86,7196
2,34,84,59,84,6583
9,75,26,11,86,4375
85,86,86,14,25,7070
27,12,98,43,37,5193
3,77,46,7,97,5361
65,7,88,90,74,6263
